,x,y,z,px,py,pz,Bx,By,Bz,Ex,Ey,Ez
0,-0.0701050839036574,-0.43088409064506944,-3.578764012995095,0.7384813227029567,0.032737853161045063,1.9975789969468867,0.0,-0.0,0.0,0.0,0.0,0.0
1,-0.8229547489390341,0.3298381422088236,-0.38681481893178093,-0.06617881396305511,-0.14820070560927964,2.000134311216937,0.0,-0.0,0.0,0.0,0.0,0.0
2,0.17231273052575918,0.29104195303138725,-2.3079257837254237,-0.5965948187425253,0.11262527324637843,1.9984682535009504,0.0,-0.0,0.0,0.0,0.0,0.0
3,-0.8241774791912181,-0.5492368041823125,-2.866892885554252,0.25531182717679735,-0.3734547567877335,1.9995842036382945,0.0,-0.0,0.0,0.0,0.0,0.0
4,0.7409427903956426,-0.4435114598057462,0.18870924826702382,0.12121099076461331,0.13023800400305174,2.002386412072708,2.872968084148555e-14,1.2663892771386856e-14,-0.0,0.0006582404558523492,-0.00028978181117618283,-0.0005974185214341464
5,-0.763298642471653,0.21123359416742551,-3.312511716931937,0.752976399671234,0.42842863403914855,2.0016541516920814,0.0,-0.0,0.0,0.0,0.0,0.0
6,0.023893576765230642,-0.042975681515676135,-0.1362889875786981,0.23486825289374366,-0.14862579867106215,2.001516028295394,0.0,-0.0,0.0,0.0,0.0,0.0
7,-0.1208782451497426,-0.02799377346872163,-2.143877721332994,-0.4524279740648427,-0.4854406464445573,2.000640624280964,0.0,-0.0,0.0,0.0,0.0,0.0
8,-0.6643203054116069,0.3638408612613943,-0.13479312662257756,-0.27528736152543754,-0.45214090545528235,1.9969033934005351,0.0,-0.0,0.0,0.0,0.0,0.0
9,0.3359491119809729,-0.25192363761382447,-2.4282371182617237,-0.9505832670040026,-0.12914404590662293,1.9999072635061115,0.0,-0.0,0.0,0.0,0.0,0.0
10,0.6893308533425234,-0.21540090446048848,-0.6279768631878884,-0.8143807775483969,0.3011416580797055,2.001602968196179,0.0,-0.0,0.0,0.0,0.0,0.0
11,-0.30360941281314113,-0.6054437499872102,-3.367021428619275,0.6690205607373299,-0.5447000153549477,2.0010455869376464,0.0,-0.0,0.0,0.0,0.0,0.0
12,-0.5351752281984015,0.6347244952590437,-1.3470264432976276,0.4346793185987601,-0.6530011180243565,2.0009135095062835,0.0,-0.0,0.0,0.0,0.0,0.0
13,-0.796702974774969,-0.2671769309337909,-1.709875232258908,-0.4829308119999605,0.3666694358916727,1.999985016328151,0.0,-0.0,0.0,0.0,0.0,0.0
14,-0.31223831095723126,-0.05323283300057234,-3.526643018057393,-0.23872428918629673,-0.8411401399815948,2.001620972922257,0.0,-0.0,0.0,0.0,0.0,0.0
15,0.3258242909471276,0.47191379448420767,-2.7486319826074586,-0.8794464846292036,0.02546126161801889,2.0025385173262475,0.0,-0.0,0.0,0.0,0.0,0.0
16,0.20528678527397004,0.46995930082595466,-1.891768577972143,-0.5706514207201507,-0.5211967935352315,1.999754746099629,0.0,-0.0,0.0,0.0,0.0,0.0
17,0.037550290649748186,0.7002982852505414,-1.5647226977087318,-0.8730164705856828,-0.010395092767040436,2.002239124137318,0.0,-0.0,0.0,0.0,0.0,0.0
18,-0.7036658995754206,0.6915438355745207,-3.6571180360766435,0.3679018894139229,0.3848098715969834,2.0003071641101045,0.0,-0.0,0.0,0.0,0.0,0.0
19,0.12672462776261778,-0.2698031514821541,-1.2856105952972017,-0.9223302648473153,-0.0403163753136826,1.9980396850433895,0.0,-0.0,0.0,0.0,0.0,0.0
20,0.49612593925015736,0.7714776369132279,-0.057739284291801446,0.5448709259807597,-0.5727238771276383,1.9974213754344707,0.0,-0.0,0.0,0.0,0.0,0.0
21,0.46042047262130487,-0.21103534621731637,-2.199401781115528,0.9256338712397052,-0.2716688360742951,1.9992950831117415,0.0,-0.0,0.0,0.0,0.0,0.0
22,-0.5227792196035302,0.812894336044365,-3.01108893185575,-0.2598812484631315,0.25635978113653063,2.00197837388062,0.0,-0.0,0.0,0.0,0.0,0.0
23,-0.522469824846981,0.49010663514855923,0.5395118968193765,-0.41156175487472624,0.281999979864482,2.0029206520382354,-2.1317309410543283e-14,-1.9315247130662106e-14,1.1176575309509304e-182,-0.0004893849153436586,0.0004424699124041618,-0.00010327399794525937
24,0.06162112744888847,0.8806538143530798,-2.026078033741412,-0.10372844896988524,-0.1809336781782257,2.0000329501536656,0.0,-0.0,0.0,0.0,0.0,0.0
25,-0.07518255968103052,-0.4970622393778929,0.14273958542448162,-0.401012320264851,0.46984215618734354,1.9967628899149923,-2.4451850992383894e-15,8.285799037700364e-15,-0.0,-5.335442527003974e-05,-0.00018709103797107297,-0.0006266984057684286
26,-0.6924821117621264,-0.10906218231252918,-3.645249914467034,-0.41914627755943995,0.7222912423540122,1.9997751860639683,0.0,-0.0,0.0,0.0,0.0,0.0
27,-0.20289458253186005,0.07961443207602682,-2.4842731631597785,0.664505901915901,0.25637982812391497,1.99740489409389,0.0,-0.0,0.0,0.0,0.0,0.0
28,0.3135291677288301,-0.16415479798733518,-2.7054168136010044,-0.5698424485720535,-0.7149327932405777,2.0010159499169653,0.0,-0.0,0.0,0.0,0.0,0.0
29,-1.0315360277337768,0.7597278589054541,0.6742007360849255,-0.7564331258763423,0.06000850347601773,-1.9507575822289434,2.9406393100006905e-14,2.4408941443010112e-14,-1.556984648647179e-104,-0.15069511574695613,0.11111960909018634,1.7558660551711198
30,-0.8096340434576591,-0.0783206730970644,-2.390420205329484,-0.6768974647138519,0.060593123162037674,2.001183918191489,0.0,-0.0,0.0,0.0,0.0,0.0
