F0(MHZ),W0(J),Q0,M,ISYM:  _2.45178E+03  _1.00000E+00  _1.91650E+04   _1   _0

  R(CM) Z(CM) ER,EZ,EF(MV/M); HR,HZ,HF(KA/M) 

              0           4.67       -0.01902              0        0.01911         0.1758              0        -0.1764
              0          4.809       -0.01577              0        0.01587         0.1442              0        -0.1448
              0          4.948       -0.01257              0        0.01265         0.1152              0        -0.1157
              0          5.088      -0.009819              0       0.009881         0.0902              0       -0.09057
              0          5.227      -0.007523              0        0.00757        0.06911              0       -0.06938
              0          5.367      -0.005682              0       0.005712        0.05197              0       -0.05214
              0          5.506      -0.004296              0       0.004308        0.03879              0       -0.03884
              0          5.645      -0.003365              0       0.003358        0.02956              0       -0.02948
              0          5.785      -0.002889              0       0.002863        0.02427              0       -0.02406
              0          5.924      -0.002339              0       0.002313        0.02037     1.566e-009       -0.02018
              0          6.064      -0.001811              0       0.001788        0.01688     2.236e-009       -0.01673
              0          6.203      -0.001347              0       0.001328        0.01394     1.754e-009       -0.01384
              0          6.342     -0.0009479              0      0.0009328        0.01156     1.217e-010       -0.01149
              0          6.482     -0.0006137              0      0.0006023       0.009719    -2.661e-009      -0.009705
              0          6.621     -0.0003443              0      0.0003367       0.008434    -6.595e-009      -0.008466
              0          6.761     -0.0001398              0      0.0001359       0.007699    -1.168e-008      -0.007779
              0            6.9     1.515e-010              0     -1.46e-010       0.007514    -1.791e-008      -0.007644
            0.1           -6.9    -1.734e-010    -2.398e-005      1.82e-010       0.007734    -3.785e-010      -0.007837
            0.1         -6.761      0.0001246    -1.244e-005     -0.0001285       0.007807      0.0002556      -0.007774
            0.1         -6.621      0.0003141     -1.94e-006     -0.0003204       0.008411        0.00062       -0.00832
            0.1         -6.482      0.0005685     7.534e-006     -0.0005758       0.009546       0.001093      -0.009477
            0.1         -6.342      0.0008877     1.598e-005     -0.0008948        0.01121       0.001675       -0.01124
            0.1         -6.203       0.001272     2.339e-005      -0.001277        0.01341       0.002366       -0.01362
            0.1         -6.064       0.001721     2.978e-005      -0.001723        0.01614       0.003165        -0.0166
